learning_rate,gamma,n_steps,batch_size,n_epochs,ent_coef,clip_range,gae_lambda,run_id,description,algorithm,mean_reward,std_reward,training_time_s
0.0003,0.99,512,64,10,0.01,0.2,0.95,0,Baseline LR=3e-4,PPO,317.6573,73.6438,624.1
0.001,0.99,512,64,10,0.01,0.2,0.95,1,Higher LR=1e-3,PPO,515.6816,45.2513,417.2
0.0005,0.99,1024,128,10,0.01,0.2,0.95,2,Longer rollout n=1024,PPO,364.0783,98.2178,338.1
0.0003,0.95,512,64,10,0.01,0.2,0.95,3,Lower gamma=0.95,PPO,503.6046,23.7116,430.4
0.0003,0.99,512,64,10,0.05,0.2,0.95,4,High entropy=0.05,PPO,391.2816,47.562,438.8
0.0003,0.99,512,64,20,0.01,0.2,0.95,5,More epochs=20,PPO,442.1689,60.1167,672.3
0.0003,0.99,512,64,10,0.01,0.1,0.95,6,Tight clip=0.1,PPO,394.2076,83.8302,503.0
0.0003,0.99,512,64,10,0.01,0.3,0.95,7,Wide clip=0.3,PPO,397.5668,34.4124,391.4
0.0003,0.99,512,64,10,0.01,0.2,0.8,8,Low GAE lambda=0.80,PPO,411.0106,62.6486,312.4
0.0001,0.99,2048,256,10,0.001,0.2,0.98,9,"Low LR, very long rollout",PPO,242.175,28.4935,227.3
